,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-01-17,3.4289717e+15,3.00113363e+15,2.5041584e+15,3.1730405e+15,5.52679613e+15,3.22653674e+15,5.15852899e+15,4.99158576e+15,4.01420904e+15,2.68009154e+15,5.30099681e+15,3.55193446e+15,3.55193446e+15,2.0034942e+15,1.34492692e+16,3.11230859e+15,1.9989567e+15,1.96570815e+15,3.01905626e+15,3.34797828e+15
2019-01-18,3.08158481e+15,3.18437707e+15,2.50553279e+15,3.17422806e+15,5.52212804e+15,4.28153559e+15,7.09870638e+15,4.96465631e+15,3.57967458e+15,4.96080963e+15,5.43172595e+15,3.16143604e+15,3.16143604e+15,2.18064469e+15,5.91946835e+15,3.62131241e+15,1.10741074e+15,4.2645302e+15,4.76175615e+15,2.27431672e+15
2019-01-19,3.39025606e+15,3.02542328e+15,2.53940774e+15,3.33561709e+15,4.35423784e+15,2.96103984e+15,7.00819477e+15,5.1969915e+15,4.15032568e+15,3.02436216e+15,4.63126001e+15,3.36096653e+15,3.36096653e+15,2.16190534e+15,1.68444795e+16,3.19699219e+15,1.9287764e+15,-1.267651e+30,2.79403433e+15,2.36981317e+15
2019-01-20,3.1880796e+15,3.00463135e+15,2.51974645e+15,3.02146869e+15,7.59254011e+15,3.89170691e+15,8.51566065e+15,4.06393698e+15,3.67939165e+15,4.55135376e+15,1.37459838e+16,3.1219465e+15,3.1219465e+15,1.98913612e+15,-1.267651e+30,3.2469993e+15,1.24871369e+15,2.02713034e+15,5.84464626e+15,2.96246255e+15
2019-01-21,3.32258133e+15,3.11478571e+15,2.58911473e+15,3.44816295e+15,4.52306871e+15,5.99514191e+15,4.8679358e+15,5.52922225e+15,4.55728135e+15,5.23840089e+15,7.16673866e+15,3.19556975e+15,3.19556975e+15,1.84827663e+15,9.6539408e+15,3.31819349e+15,1.35495561e+15,5.25852442e+15,6.91845841e+15,3.52341159e+15
2019-01-22,3.35517047e+15,2.9931619e+15,2.6017763e+15,3.03571483e+15,6.12620391e+15,3.09874401e+15,9.14634653e+15,3.96531138e+15,4.1105057e+15,5.85578794e+15,7.19863631e+15,3.6088452e+15,3.6088452e+15,2.00092245e+15,1.51865545e+16,3.06807875e+15,1.78776551e+15,2.38638798e+15,3.85951425e+15,3.01933946e+15
2019-01-23,3.19278071e+15,3.09222264e+15,2.61589305e+15,3.04565285e+15,4.97783757e+15,2.4209818e+15,6.58695297e+15,5.18588149e+15,5.30903646e+15,5.19633866e+15,9.92381936e+15,3.09483479e+15,3.09483479e+15,2.15604379e+15,1.54915047e+16,3.03829691e+15,2.53466931e+15,3.47276533e+15,5.30688199e+15,2.85151952e+15
2019-01-24,3.3336508e+15,2.859211e+15,2.59925139e+15,3.09493786e+15,7.08190447e+15,4.45619017e+15,3.82198698e+15,4.35745397e+15,4.66459433e+15,6.37671271e+15,5.89161709e+15,3.79892407e+15,3.79892407e+15,1.99078646e+15,1.20956437e+16,2.94170229e+15,2.61880584e+15,2.76082699e+15,1.83953839e+15,3.43685323e+15
2019-01-25,3.47097997e+15,3.11168287e+15,2.68389231e+15,3.37299029e+15,6.02658644e+15,4.78672119e+15,5.71631478e+15,3.89850074e+15,3.71016535e+15,7.46387148e+15,9.5283581e+15,2.96418215e+15,2.96418215e+15,1.96243767e+15,1.51605624e+16,2.81494116e+15,2.51430177e+15,4.69712226e+15,1.8945188e+15,3.35531059e+15
2019-01-26,3.52970264e+15,3.01004998e+15,2.48351974e+15,3.08482268e+15,4.36156909e+15,2.15581414e+15,,4.29934011e+15,3.96980901e+15,4.68677515e+15,6.67364796e+15,3.30817628e+15,3.30817628e+15,1.90870132e+15,8.87930426e+15,3.06544137e+15,2.5502834e+15,-1.267651e+30,2.50214111e+15,3.76145746e+15
