,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-02-03,43.0277824,33.2584496,56.4993553,51.560276,53.3406944,53.4597664,61.4210358,43.2530365,57.5896187,67.5557785,66.7573013,45.34758,45.34758,79.0854187,80.7914352,53.4432564,84.0929794,52.4715462,67.0058441,67.2886353
2019-02-04,37.3950424,34.9285469,59.8457565,48.9619789,51.3100395,54.9954071,52.9921913,48.0155869,56.8952446,67.0548172,68.5540237,47.5302505,47.5302505,78.197258,47.4609795,51.1177139,81.5982971,54.7660065,67.5106964,69.1126022
2019-02-05,39.8351707,34.8022308,59.0310745,52.985817,48.6299858,60.7481804,57.6628189,42.0487823,50.9665909,62.1994743,66.8561783,46.4698486,46.4698486,77.6659546,49.5434761,60.9359703,84.5940704,55.4703331,71.0926437,69.347702
2019-02-06,38.5195732,37.9225197,61.5448151,49.0854073,54.8418045,60.8654137,65.5983505,43.4230347,40.8637009,58.1185074,73.8862991,44.1478958,44.1478958,78.2594376,47.0254669,50.402668,81.4664459,43.468708,61.5883446,70.0145111
2019-02-07,40.0219765,38.2154007,58.6662865,52.6567574,54.1084824,58.4424248,52.7351112,45.8314972,31.8444748,59.0557175,71.5124817,45.947998,45.947998,79.5117035,52.356617,51.8673248,87.0292282,46.7919159,73.1940231,63.6721954
2019-02-08,39.2362175,35.049839,60.1868668,50.7516899,56.7278862,56.889679,63.4075356,42.6215439,37.449852,61.4782715,61.2088318,47.3081245,47.3081245,79.8675385,46.1952248,53.1823235,81.0277939,53.9338341,67.1753693,60.4106216
2019-02-09,36.5867767,32.5667305,58.2012138,54.5870247,59.2682076,57.12463,57.6818657,49.2523613,48.3862686,62.1192169,75.0746307,46.9417534,46.9417534,78.4473343,45.6699829,49.6570358,77.120575,48.021347,67.097435,63.271759
2019-02-10,44.329731,29.5793152,59.8666,50.5268517,54.9322052,70.1567154,57.3523178,42.8445663,61.3312492,66.1051483,66.7860565,51.8943901,51.8943901,79.7742844,59.7694778,66.2932434,75.933815,61.3506889,65.4735336,65.5049591
2019-02-11,42.5853157,26.4233837,60.8120651,48.3718262,56.6321983,60.1426773,63.1778603,47.1448975,61.4462891,65.8113785,68.056839,47.0811844,47.0811844,79.9057465,50.8546143,60.4238205,80.3993225,60.6123581,64.7585144,61.7609329
2019-02-12,45.9069481,27.8494644,57.8602028,51.4717522,56.4152222,52.399456,57.6721954,39.6564522,67.8718872,55.9634361,65.0947113,44.5175056,44.5175056,79.2868118,48.8458939,49.8350029,76.7097015,55.7007523,67.9280701,56.6919289
2019-02-13,42.0198059,27.5777168,59.1265602,45.9944572,53.7954025,53.5853348,60.098259,42.5253334,54.6225014,60.5490112,68.5006561,44.4321747,44.4321747,77.023674,48.4951782,61.8761063,75.8655777,59.5720558,67.4704514,56.1866264
2019-02-14,44.3950233,26.8392715,60.7374191,57.8661804,53.3534851,46.4617424,51.6440125,44.3983154,41.3524246,53.7083511,70.1349182,50.2706375,50.2706375,77.0721512,45.3794289,49.0623665,81.3350754,45.6500473,64.444809,61.5910072
2019-02-15,35.0230789,27.3341579,61.6886673,42.6359634,55.3369789,43.7903671,51.5734024,46.6354294,50.0253639,53.2430954,62.9366951,43.9809685,43.9809685,76.21035,70.8036804,45.574192,80.5114059,43.3134499,62.6844559,63.0347404
2019-02-16,38.149559,25.608078,60.5909348,55.968483,51.9423637,45.1025085,43.7657433,53.1144257,58.1608009,51.7470016,68.60289,45.7964172,45.7964172,72.4782104,52.9794159,40.3027611,79.3420105,41.5764389,65.9970322,66.620491
2019-02-17,38.0412369,24.5937557,63.4671669,43.9317055,50.5310974,48.3296738,50.1743011,40.7995453,56.8855133,50.2077255,62.6946182,38.4355698,38.4355698,72.0378799,52.9729424,42.393177,77.5656052,40.235878,65.5425568,65.5634308
2019-02-18,38.8319855,27.4434242,60.2770996,48.6709785,51.8188515,50.8817978,43.6609268,47.2050285,43.544651,53.2826118,64.7761078,45.5064774,45.5064774,71.7613678,59.4722672,51.6953354,76.437439,48.0938072,72.389328,68.6493454
2019-02-19,39.2721291,26.7473507,59.7083015,52.7970734,53.1684036,58.5242538,62.8084068,41.5490837,49.3645592,58.6041107,73.0687485,45.735817,45.735817,73.5412445,77.7549973,53.6227531,77.2497635,53.7236443,58.7733879,69.7210922
2019-02-20,38.4031563,26.5580807,60.100441,52.7432213,46.5051689,53.9752159,52.9122353,47.3268318,45.7382774,61.4744835,72.4423676,38.509758,38.509758,73.7438812,62.9539986,55.8493614,72.0105972,49.7363205,67.2268677,69.2301712
2019-02-21,45.554409,24.9919415,57.4032593,56.9866638,45.2185745,49.912117,67.4246063,44.1200294,35.0635681,58.6681557,67.2925339,45.8143616,45.8143616,73.4163284,58.2455521,49.7241898,80.9650803,52.0781021,73.5660629,67.271553
2019-02-22,43.6734505,26.6397419,57.905426,48.1608696,49.7343292,52.295536,60.0376129,41.9337654,36.3222313,60.3881454,64.5566711,45.6934624,45.6934624,74.7366028,42.8063354,36.2098732,79.3864746,59.0843773,62.5892296,65.6364136
2019-02-23,44.5656471,24.1764393,57.5356445,56.0968933,48.3462906,47.2392159,54.3922806,35.7041054,38.3747292,53.2061005,65.5613022,42.6982193,42.6982193,78.7746353,53.7321167,39.1140633,82.4853745,49.2262917,67.8369217,63.6774063
2019-02-24,44.1907959,25.0761127,59.3647118,47.5676079,50.6988182,50.5724602,58.0856438,35.4921036,43.9958687,53.015583,60.5800591,38.9043274,38.9043274,76.4073334,68.318222,42.5110283,80.7054367,41.1525269,68.0516968,56.6646881
2019-02-25,42.0312767,29.1840458,58.5520897,52.5734558,52.1318321,55.4548607,55.5435715,41.2219849,42.1875916,53.5825233,62.5837059,46.873024,46.873024,75.6193466,45.4072037,41.4339104,82.1802139,41.7688789,71.5013962,58.0356064
2019-02-26,40.2828941,28.1170845,58.0290413,49.4897575,51.4327316,40.4237175,49.1840134,39.3068161,37.4064484,48.5661736,62.4453583,37.7804565,37.7804565,73.3700714,44.3380928,39.9110298,75.1629944,31.5852432,65.934288,61.0401497
